num_client;numero_commande;date;montant_des_produits;remise_sur_produits;montant_livraison;remise_sur_livraison;montant_total_paye
ID_596416;302813;02/05/2021;75;;6.8;;81.8
ID_596416;302814;02/05/2021;27.5;;4.7;;32.2
ID_596650;303351;06/05/2021;62.5;;5.49;;67.99
ID_596650;308118;04/06/2021;114;-15;29.99;;128.99
ID_596650;308750;08/06/2021;38.5;;7.99;;46.49
ID_596650;374842;30/04/2022;25;;8.99;;33.99
ID_596670;303722;08/05/2021;449;-15;9.6;;443.6
ID_596724;320676;05/12/2021;73.6;;4.7;-4.7;73.6
ID_596831;303828;09/05/2021;25;;7.49;;32.49
ID_596855;355004;22/01/2022;64;;4.49;;68.49
ID_596855;355404;23/01/2022;37.5;;5.49;;42.99
ID_597076;304381;13/05/2021;735;-20;29;;744
ID_597076;306859;29/05/2021;117.5;-15;9.6;;112.1
ID_597076;307340;31/05/2021;69;;9.6;;78.6
ID_597076;307650;02/06/2021;195;;9.99;;204.99
ID_597076;311936;27/06/2021;79;;8;;87
ID_597076;313425;02/07/2021;49;;4.49;;53.49
ID_597076;392109;12/12/2022;310;;31;;341
ID_597157;305741;22/05/2021;175;-15;29.99;;189.99
ID_597157;310485;19/06/2021;55;;8;;63
ID_597157;311666;26/06/2021;149;;29.99;;178.99
ID_597157;368193;26/03/2022;389;;37.5;-29.99;389
ID_597158;307123;30/05/2021;39;;7.99;;46.99
ID_597158;313451;02/07/2021;45;;19.49;;64.49
ID_597212;304697;15/05/2021;56.8;;4.7;-4.7;56.8
ID_597218;304714;15/05/2021;20.8;;4.7;-4.7;20.8
ID_597221;306256;26/05/2021;77;;9.6;;86.6
ID_597221;319357;29/07/2021;35;;8;;43
ID_597221;324075;27/12/2021;33;;6.8;;39.8
ID_597221;334254;30/10/2021;26;;8;;34
ID_597221;338151;11/11/2021;28.5;;5.49;;33.99
ID_597221;380417;09/06/2022;;;;;
ID_597221;394510;08/09/2022;198;;25;;223
ID_597221;397491;04/10/2022;38.5;;6.5;;45
ID_597221;398285;10/10/2022;95;;12.99;;107.99
ID_597221;406249;01/12/2022;279;;22.5;;301.5
ID_597296;304845;16/05/2021;111.5;-15;4.99;;101.49
ID_597372;306347;26/05/2021;163;-15;29.99;;177.99
ID_597399;305045;18/05/2021;71.2;;4.7;-4.7;71.2
ID_597446;320445;03/12/2021;92;;4.7;-4.7;92
ID_597527;305400;20/05/2021;175;-15;29.99;;189.99
ID_597566;307942;03/06/2021;267;;29.99;;296.99
ID_597566;308529;06/06/2021;112.5;-15;5.49;-5.49;97.5
ID_597566;310131;18/06/2021;108;-15;19.49;;112.49
ID_597566;327944;18/09/2021;110;-15;5.99;;100.99
ID_597566;379138;01/06/2022;39.9;;5.2;;45.1
ID_597605;308416;05/06/2021;159;-15;3.99;;147.99
ID_597605;323907;26/12/2021;12.5;;3.49;;15.99
ID_597671;337300;08/11/2021;45;;8;;53
ID_597672;305777;22/05/2021;95;;19.49;;114.49
ID_597672;305874;23/05/2021;190;-20;29.99;-19.49;180.5
ID_597672;338287;12/11/2021;83;;5.49;;88.49
ID_597672;350888;10/01/2022;44.4;;4.99;;49.39
ID_597672;356923;28/01/2022;450;;29.99;;479.99
ID_597719;305904;23/05/2021;265.06;;51.2;;316.26
ID_597719;306288;26/05/2021;50.16;;32;;82.16
ID_597719;309854;16/06/2021;46.82;;27.2;;74.02
ID_597719;311013;23/06/2021;22.08;;32;;54.08
ID_597719;321443;08/12/2021;77.5;;8;4.99;90.49
ID_597727;314631;08/07/2021;11;;6.8;;17.8
ID_597747;306124;26/05/2021;419;-15;45.49;-1.49;448
ID_597747;327270;15/09/2021;55;;4.99;;59.99
ID_597747;343633;27/11/2021;300;;29.99;;329.99
ID_597749;306227;26/05/2021;28;;4.99;;32.99
ID_597782;306132;26/05/2021;34;;4.99;;38.99
ID_597782;319683;30/07/2021;141;;13.6;;154.6
ID_597782;333353;23/10/2021;24;;4.99;;28.99
ID_597782;333946;30/10/2021;101;-15;9.99;;95.99
ID_597782;335414;03/11/2021;48;;4.49;;52.49
ID_597820;351447;12/01/2022;258;;29.99;;287.99
ID_597820;367533;22/03/2022;25;;9.6;;34.6
ID_597907;306550;27/05/2021;20;;4.49;;24.49
ID_597907;342012;23/11/2021;29;;3.99;;32.99
ID_597907;359973;05/02/2022;72.9;;29.99;;102.89
ID_597907;367440;21/03/2022;116;-15;44;;145
ID_598027;323722;25/12/2021;25;;7.49;;32.49
ID_598027;331025;04/10/2021;52.5;;7.49;;59.99
ID_598027;333332;22/10/2021;38;;8.49;;46.49
ID_598027;344564;01/12/2021;14;;6.49;;20.49
